item_id,topic,title,abstract
N61837,news,The Cost of Trump's Aid Freeze in the Trenches of Ukraine's War,"Lt. Ivan Molchanets peeked over a parapet of sand bags at the front line of the war in Ukraine. Next to him was an empty helmet propped up to trick snipers, already perforated with multiple holes."
N53526,health,I Was An NBA Wife. Here's How It Affected My Mental Health.,"I felt like I was a fraud, and being an NBA wife didn't help that. In fact, it nearly destroyed me."
N38324,health,"How to Get Rid of Skin Tags, According to a Dermatologist","They seem harmless, but there's a very good reason you shouldn't ignore them. The post How to Get Rid of Skin Tags, According to a Dermatologist appeared first on Reader's Digest."
N2073,sports,Should NFL be able to fine players for criticizing officiating?,Several fines came down against NFL players for criticizing officiating this week. It's a very bad look for the league.
N49186,weather,"It's been Orlando's hottest October ever so far, but cooler temperatures on the way","There won't be a chill down to your bones this Halloween in Orlando, unless you count the sweat dripping from your armpits."
N24510,entertainment,Best PS5 games: top PlayStation 5 titles to look forward to,Every confirmed or expected PS5 game we can't wait to play
N60905,autos,Trying to Make a Ram 3500 as Quick as a Viper Requires Some Disassembly,The 2019 Ram 3500's new Cummins diesel has 1000 lb-ft of torque. We put it to work on the drag strip.
N18680,health,"Michigan apple recall: Nearly 2,300 crates could be contaminated with listeria","A Michigan produce company has recalled nearly 2,300 cases of fresh apples that could be contaminated with listeria."
N22850,travel,Newark Liberty Airport's Terminal One a $2.7 billion 'transformative' project,"The project, which is the bi-state agency's single-largest investment in the state, is projected to be completed in 2022."
N29120,sports,"John Dorsey admits talks with Washington, but it ""takes two to tango""","Team officials in Washington ""emphatically"" denied a rumor of a Trent Williams trade to Cleveland, according to a report Tuesday. A day later, Browns General Manager John Dorsey admitted publicly he has talked to Washington president Bruce Allen. ""We've had a few conversations,"" Dorsey said, via Mary Kay Cabot of the Cleveland Plain Dealer. ""It [more]"
N9786,news,Elijah Cummings to lie in state at US Capitol Thursday,"Cummings, a Democrat whose district included sections of Baltimore, died last week at age 68 from complications related to longstanding health issues."
N47705,travel,"17 Abandoned Theme Parks to Explore for Thrills, Chills, and Nostalgia","Disney, Six Flags, and even the Flintstones have had amusement parks that succumbed to disasters, bad press, and shifting entertainment markets. But for the adventurous, abandoned theme parks, whether in California, Florida, or Ohio, can be fascinating places to explore   if you dare."
N3574,autos,Ford Bronco Test Mule Spotted Flexing Its Muscles in Australia,"It still won't be offered in the Land Down Under, however."
N63665,foodanddrink,25 Last-Minute Ideas That Will Absolutely Save Your Holiday Dinner,These last-minute ideas will make you excited for the (sometimes-stressful) holiday. The post 25 Last-Minute Ideas That Will Absolutely Save Your Holidays appeared first on Taste of Home.
N57356,news,"New iPad Pro 2019 release date, price, news and leaks","Apple is likely gearing up to release a new series of iPad Pro tablets, so this is what we know and what we want to see."
N15926,health,These Simple Diet Changes Helped This Guy Lose 75 Pounds in 9 Months,The part of me that knew I had to make changes took control.
N43620,news,"Without help from US, UN climate fund struggles to meet goal","Rich countries gathered Thursday in France to discuss replenishing an international fund that is meant to help poor nations tackle climate change, but which is falling short of its targets because the U.S. has stopped contributing."
N50643,weather,"A little snow causes a big mess, more than 100 crashes on Minnesota roads","A snowfall of a mere one-tenth of an inch caused way more than its share of damaged cars and rattled drivers early Saturday, with 118 crashes reported between 6 a.m. and 11:30 a.m., according to the Minnesota State Patrol. Another 22 vehicles spun out or slid off the slick roads, said State Patrol spokesman Lt. Gordon Shank. No weather-related fatalities were reported. Although 18 people were ..."
N63175,sports,"LA rivalry takes on new meaning for fans as Lakers, Clippers in hunt for NBA championship","NBA Finals MVP Kawhi Leonard and other Clippers say they are used to taunts and booing from Lakers fans, who are ""like a religion"" in Tinseltown."
N43647,news,POWER RANKING: Here's who has the best chance of becoming the 2020 Democratic presidential nominee,We've combined Insider polling and results of Morning Consult's daily survey to create a weekly power ranking of the potential 2020 candidates.
N8071,lifestyle,"25 Photos of the Royal Family at Balmoral Castle, Queen Elizabeth's Favorite Home",The royal family has been visiting the Scottish estate for more than a century.
N5124,sports,Phil Fulmer blasts NCAA after key Tennessee freshman denied eligibility,"Uros Plavsic, a redshirt freshman who transferred from Arizona State after a coaching change, will not be allowed to suit up for the Vols this season."
N41387,tv,Can you answer these real Jeopardy questions about TV shows?,"Culling data straight from the ""Jeopardy!"" archives, Stacker will provide a ""clue"" about TV shows and then present the answer in the form of a question on the following slide. Can you answer these real ""Jeopardy!"" questions about TV shows?"
N41106,sports,Randall's Rant: Is Tiger already the GOAT without 18 majors?,"We may never understand what Tiger Woods has gone through off the golf course, but even so, does that make him the GOAT without 18 majors?"
N37243,finance,The 25 most desirable places to live in the US in 2019,Check out where U.S. residents would live if they could.
N9680,tv,'Bachelor's Amanda Stanton Is Dating 'Rich Kids of Beverly Hills' Star Brendan Fitzpatrick,The mom of two opened up to ET about her dating life in August.
N35518,health,"I'm Sorry, But Please Do Not Put Your Purse On My Couch","Welcome to my house, please drop your bag right there."
N60434,lifestyle,It's Not All About the Corgis - Here Are the Royal Family's Other Beloved Pets,We all know how much Queen Elizabeth loved her Corgis.
N40045,travel,Tim Burton's Original Art Is on Display at the Neon Museum in Las Vegas,A rare retrospective dedicated to the filmmaker's eccentric style marks the first time in nearly a decade that his artworks have been on display in the United States.
N43946,movies,16 Live-Action Disney Movies in the Works After 'Maleficent: Mistress of Evil' (Photos),"The studio is raiding its vault to remake classics including ""Mulan"""
N10836,foodanddrink,100 Genius Tips that Will Make Your Holidays So Much Better,"From grocery shopping to cooking to using up the leftovers, we've assembled expert tips to help you through the holiday season."
N49585,travel,What's new in Germany and the Low Countries for 2019,"Germany is famously a work in progress-- as are the nearby Low Countries-- and that includes their sightseeing attractions. In 2019, there's good news and a few important warnings for the smart traveler. To handle its ever-increasing number of visitors, Germany is busy renovating sights and..."
N27435,sports,Locked On Suns Wednesday: Suns blast Kings to begin 2019-20 season,"What a way to begin the season for the Phoenix Suns, winning 124-95 over the Kings."
N3395,tv,TV shows we're most excited about for the rest of the year,"From HBO originals like ""His Dark Materials"" to the new season of Netflix's ""The Crown,"" here are some of the shows we can't wait to watch."
N30702,lifestyle,40 Things I Wish I Could Tell My Younger Self,"From celebrities to scientists, doctors to artists, we asked some very successful people to share what they wish they had known when they were younger. You and your kids get all the great advice no time machine needed! The post 40 Things I Wish I Could Tell My Younger Self appeared first on Reader's Digest."
N14538,autos,Why Is This Weird Chevy Colorado Test Mule Trolling Ford HQ?,"It could be a Bronco test vehicle wearing a Bow Tie disguise, but some things don't add up."
N37188,lifestyle,20 Words and Phrases You Had No Idea Were Coined in New York City,"Hey, youz! Check out all these vocab gems that were born in New York City! The post 20 Words and Phrases You Had No Idea Were Coined in New York City appeared first on Reader's Digest."
N10886,foodanddrink,"Where to Find a Good, Cheap Sandwich in Every State","Have a craving for a great sandwich? These 50 restaurants have you covered whether your favorites include classic subs, Mexican tortas, Vietnamese banh mi, or old-fashioned barbecue. Take a look at what's available in your state and check out the unique combinations diners are enjoying all across the country."
N52386,foodanddrink,16 major chains where you can buy plant-based versions of your fast-food favorites,Plant-based burgers are coming into the mainstream. Here are the chains where you can buy the Beyond Burger and the Impossible Burger.
N22218,lifestyle,"Do You Hate Meditating? So Do These People, But They Do It Anyway","We all know we should meditate; from mitigating chronic pain to easing the physical symptoms of anxiety, meditation has long been touted as a panacea for the people. In fact, meditation is the fastest-growing health trend in the U.S., and with new apps and retreats being introduced every day, it doesn't look like it's slowing"
N57388,sports,So far the World Series is one big reminder that you can't predict October baseball,You only needed to stand by the exit of Minute Maid Park for a few minutes in the eighth inning of World Series Game 2 to know what Astros fans thought of the mauling that was still taking place.
N51343,video,Viral college football fan under fire for past offensive tweets,"Carson King, who held up a sign on television asking for ""beer money,"" has raised $2 million for a children's hospital. This comes as his past offensive tweets were revealed in a newspaper profile. NBC's Molly Hunter reports for Weekend TODAY."
N60774,video,Watch this priest perform a 'spirited' dance at pep rally,"A priest in Fort Lauderdale, Florida, walked onto the scene as a cheer squad was performing a routine at a pep rally, and proceeded to give a whole new meaning to the term school spirit! TODAY's Hoda Kotb has your Morning Boost."
N64723,sports,All eyes on Drew Brees as possibility of return nears,"Will this be the week Drew Brees returns as the Saints starting quarterback? ""That's the plan, we'll see,"" Brees responded when he was asked Wednesday about playing Sunday against the Arizona Cardinals. Brees had surgery to repair a ligament in his right thumb on Sept. 18. During Wednesday's walk-through practice Brees could be seen flexing his thumb, which was still in a brace. We will see what Brees' participation in the walk-through was after..."
N3080,foodanddrink,Restaurants to Satisfy Late Night Cravings in Louisville and Beyond,"Maybe you need a tasty meal to eat after a long night of drinking and having fun, or perhaps you work the late shift. Either way, a restaurant that's open 24 hours or close to it is what you need. Here are restaurants where you can get a bite late at night or very, very early. See what Louisville has for night owls."
N36064,finance,More store closings coming: The list of retailers closing locations in 2019,"More than 10 months into 2019, more than 8,600 stores are slated to close and more closings are expected. Is your favorite store closing?"
N27190,sports,"Redskins place TE Jordan Reed on injured reserve, ending his season","The Redskins are calling it quits on the season for Jordan Reed, placing him on the IR as he continues to battle back from a concussion."
N9035,sports,"NFL Week 9 Odds: Point Spreads, Betting Lines For All 14 Football Games",Another week has passed and still the New England Patriots and San Francisco ers remain undefeated. That very well could change in Week though particularly for the Patriots who have
N19651,lifestyle,27 products you only need to buy once in your life,"Here are all of the brands with true lifetime warranties that will replace, repair, or refund you for your purchase, at any time."
N55024,lifestyle,40 Etiquette Mistakes You Need to Stop Making by Age 40,"From errors you make on the phone to rude things you do with your significant other, clean up your act by ditching these etiquette mistake in your 40s."
N44162,sports,"Patriots vs. Ravens: 3 keys to the game, fun facts, prediction","Finally, the Patriots will play a real game against a legitimate opponent. For the first time since Week 4, the Patriots should play in a compelling game, as they will take on the Ravens on the road Sunday night. While the Patriots are 8-0 on the year, the Ravens are 5-2 and coming off their bye. In their last game, they had one of the better wins of the season by going into Seattle and coming away with a 30-16 win. Lamar Jackson is also one of..."
N52683,health,14 Celebs Over 50 Who Are In The Best Shape Of Their Lives,A list of celebs over 50 who take health and fitness very seriously   and it shows!
N8185,autos,The Oldsmobile Toronado - was it the ultimate personal car?,The first front-drive American car for 30 years remains an intriguing prospect today
N1358,video,"With impeachment inquiry 'concerns' getting addressed, GOP have nowhere to go","Joe Scarborough lists through the complaints Republicans have been rattling off about the impeachment inquiry, including the need for a direct source and a process vote. With both things now on the table, it's a very bad day for the Trump Republicans."
N54799,health,17 Low-Impact Workouts You Should Try If You're Not In Your 20s Anymore,"These exercises will make you sweat, but won't injure you!"
N34169,lifestyle,"When royals lose their tempers, from the Queen to Kate Middleton",See all the times the royal family have lost their tempers in public.
N46021,health,"12 ways your skin can react to stress, according to a dermatologist","Stress can play a big part in your skin's overall health. From acne to sweat, we asked an expert for some ways that stress can affect your skin."
N13855,news,Ikea US president backpedals on meeting parents of children killed by recalled dressers,"After inviting the parents of children who died in tip-overs of Ikea dressers to meet with him, Ikea's US president has refused to set a date."
N16556,news,Multi-vehicle accident on I-64 in James City County causes miles-long backup,"Multiple vehicle accidents on Interstate 64 in James City County shut down lanes and caused traffic headaches for drivers on Saturday. The accidents occurred near Camp Peary and Barlow Road, according to VDOT. Drivers were stuck in traffic for hours and backups by 1 p.m were around 6 miles long. VDOT is advising drivers to avoid the area if possible especially at mile markers 235 and 238. As of 1 p.m., all west lanes are back open. Virginia..."
N24423,foodanddrink,39 Appetizers for a Crowd That Are Easy and Unexpected,"Whether you're hosting a dinner party or an impromptu gathering, you're going to need snacks. Here are 39 appetizer recipes for a crowd that are easy to make and even easier to eat."
N11663,news,"These College Friends Pledged To Stay In Touch---60 Years Later, They Still Do","Since 1956, a tight-knit group of sorority sisters have helped each other through weddings, careers, children and old age by writing letters; 'Our letters reflect the seasons of our lives so much.'"
N33874,lifestyle,The Most Important Things Fatherhood Has Taught Me About Being a Man,"They don't want the 'pretend you have it all together' version of me, they simply want me. To be present. To be engaged. To be there. To be real."
N44661,lifestyle,Fall Home Maintenance Checklist: 20 Things to Do Every Year,Feel that nip in the air? Fall has arrived! Here's how to get your home and yard ready for winter before it's too late.
N11683,finance,BP profit beats as strong refining offsets lower oil price,"BP Plc reported profit that beat analyst estimates as a strong refining performance offset the effect of lower oil and natural gas prices, and bad weather that curbed production. The positive result will please investors expecting a gloomy third quarter for Big Oil. Crude prices have fallen as the U.S.-China trade war stokes demand concerns, while American output has continued to flood the market. ""BP delivered strong operating cash flow and..."
N31442,foodanddrink,How to Take Chicken Breasts From Frozen to Shredded in an Instant,"When I have boneless, skinless chicken breasts in my freezer, I like to make a batch of shredded chicken in the Instant Pot straight from frozen and turn it into all manner of meals throughout the week."
N47214,news,Here are the lawmakers who are not seeking reelection to Congress in 2020,"The battle for control of Congress is more than a year away but some lawmakers are already deciding not to run for reelection, setting up a few potentially interesting campaigns in the 2020 election."
N51426,music,"Kanye West's 'Jesus is King' album still isn't here, fans aren't happy","Kanye West originally announced ""Jesus is King"" would drop Friday. Then he rescheduled for Sunday. The album still isn't here, and fans aren't happy."
N41013,news,"Doug Schoen: Hillary vs. Trump in 2020? If Clinton is serious, here's best way for her to defeat the president","Even when she is out of the running for president, Hillary Clinton is still one of the most prominent voices in the Democratic Party."
N60535,sports,"Josh Gordon, New Patriots Receiver Mohamed Sanu Share Laugh At Practice",Josh Gordon and Mohamed Sanu were all smiles Wednesday at Gillette Stadium -- and who can blame them Sanu officially joined the New England Patriots on Wednesday following his trade from the
N47600,lifestyle,People Told My Daughter With a Disability She Wouldn't Be Able to Do Everything She Does Today,I wish I had a dollar for every time someone told me that diagnosis is just a word.
N35318,news,It's illegal to leave your pumpkins outside in Maricopa County,"'Tis the season for carving faces and other designs into pumpkins before putting candles inside the rotting ghords to celebrate Halloween. It's a wonderful tradition which comes with a very important caveat in many Arizona counties. ""Putting out a pumpkin for a javelina is definitely feeding wildlife,"" said Amy Burnett with Arizona game and Fish. Leaving your pumpkins outside in Maricopa County is illegal and you could be fined for doing do. The..."
N11360,health,This is how much water you need to drink for weight loss,Drinking plenty of water is one of the major tenets of weight loss. But just how much water is enough? Here's how you can drink water to lose weight.
N24417,sports,Cavs could put claim on Alfonzo McKinnie after surprising release from Warriors,The Cleveland Cavaliers may be picking up a piece from their longtime rivals.
N59891,news,Maryland police ID man killed in crash of semi hauling beer,"NORTH EAST, Md. (AP)   Maryland state police have released the identity of a semitruck driver who was killed over the weekend when his vehicle overturned on Interstate 95. The News Journal of Wilmington reports 32-year-old Benjamin Pula died in the Sunday morning crash near North East and Rising Sun. The newspaper says Pula's LinkedIn page says he was a semitruck driver based in Greensboro, North Carolina, where he also helped manage a dairy..."
N64593,health,An avocado a day could lower your 'bad' cholesterol levels and reduce your risk of heart disease,"Bad cholesterol means LDL (low-density lipoprotein), and having too much can clot arteries and lead to heart problems."
N51844,foodanddrink,29 Thanksgiving Menus That Will Make November So Much Easier,Be ahead of the carve and give thanks for these delicious Thanksgiving dinner menu options.
N7992,travel,You can now stay in a giant guitar-shaped hotel that you have to see to believe,Want to sleep in a building shaped like a guitar? The Seminole Hard Rock Hotel & Casino in South Florida is taking things to the next level.
N60584,health,"Those Grueling Workouts May Not Help You Lose Belly Fat, but Here's What Will","If you're trying to lose weight, you're probably doing it to look and feel good, but shedding belly fat, specifically, can also improve your health."
N46830,video,'This is not normal': Sen. Manchin reacts to Vindman attacks,"Sen. Joe Manchin, D-W. Va., weighs in on the personal attacks against Lt. Col. Alexander Vindman, calling them 'despicable.' Sen. Manchin also discusses the bankruptcy reform bill Stop Looting American Pensions' Act."
N41147,entertainment,This Sony PS5 feature could end the PlayStation vs Xbox battle once and for all,Can't figure out how to get to scale the wall and reach the helicopter? PlayStation Assist may be able to help
N24905,news,Grieder: Special election in House District 28 portends a deeply polarized 2020 election cycle,"The special election in Texas House District 28 this year is special indeed, according to leaders from both parties. As a result, it's offered us all a dreary preview of what to expect in 2020, as Republicans and Democrats battle for control of the Texas House, and the state more generally. Republicans, apparently, are going to cast all Democrats as socialists. Democrats are going to cast all Republicans as   well, as Republicans, and pawns of a..."
N65207,health,"Tennessee has deadliest year yet for drug overdoses, as nearby states improve","Tennessee is seeing overdoses increase while other Appalachian states are gaining ground on the opioid crisis, CDC data shows."
N35616,finance,Why more employers are helping workers pay off student loans,"Americans owe a record $1.5 trillion in student debt, a burden that can hinder goals such as homeownership"
N23386,lifestyle,I'm an American who moved to Canada  here's why I'll never move back,"From soon-to-be legalized marijuana to healthcare, here are some of the reasons I think Canada is better than the US and why I plan to stay."
N43484,lifestyle,The Top 25 Holiday Gifts For Women That Will Be Flying Off the Shelves in 2019,"Whether you like it or not, it's time to start thinking about the biggest task at hand for the holidays: gift shopping."
N35080,finance,5 Excellent Dividend Stocks to Buy for the Holiday Season,"The whole stock market is currently doing well, but this collection of dividend stocks promises ample returns. More From InvestorPlace 2 Toxic Pot Stocks You Should Avoid 10 Battered Tech Stocks to Buy Now 7 Strong-Buy Stocks Hedge Funds Are Buying Now The 7 Best Penny Stocks to Buy"
N17041,music,The Eagles Soar and Perform 'Hotel California' For the First Time in Its Entirety in Las Vegas,"Eagles revisited their 1976 classic, 'Hotel California' Friday night, performing it for the first time in its entirely."
N18287,foodanddrink,From McDonald's Szechuan Sauce to the Popeyes' sandwich: 6 out-of-control fast-food menu launches that shook America to its core,"From McDonald's Teenie Beanies to KFC's Double Down, here are the six biggest launches in fast-food history."
N41146,finance,GM Spring Hill could ramp up output soon as union leaders laud stand in national strike,UAW's GM Council will decide Thursday whether to end 30-day walkout
N37461,lifestyle,Queen Elizabeth Once Trolled a Group of Tourists Who Didn't Recognize Her at Balmoral Castle,It's recently been reported that the Queen trolled a group of American tourists who failed to recognize her while walking around Balmoral Castle.
N39490,travel,"Lenape protest groundbreaking of Passaic's new Dundee Island Park, say it's 'sacred ground'","Members of the Ramapough Lenape Nation protested at a groundbreaking, saying the Dundee Island Park in Passaic is ""sacred ground"" to Native Americans."
N8691,autos,The Bugatti Chiron Super Sport 300+ Briefly Went Airborne During Its Record Run,Driver Andy Wallace describes the moment the Chiron prototype left the ground at 277 mph.
N56406,autos,Bicyclist struck by train in Beverly; Delays on Newburyport/Rockport line,"Trains on the Newburyport/Rockport Commuter Rail line were cancelled and delayed Tuesday morning after a man riding his bicycle was struck by an outbound train, officials said. The man was struck at the Beverly Depot around 8:20 a.m. while riding through the pedestrian cut-through, according to Transit police. He sustained serious injuries and was rushed […]"
N56618,news,CNN and MSNBC hit Ingraham guest for accusing White House official testifying in impeachment inquiry of 'espionage',Anchors on CNN and MSNBC expressed their outrage at Fox News' Laura Ingraham.
N5373,lifestyle,"If These Spooky Quotes Don't Get You in the Halloween Mood, Nothing Will",From song lyrics to lines from your favorite scary movies.
N2540,video,Pakistan PM reveals what he told Prince William at lunch,"Pakistan Prime Minister Imran Khan tells CNN's Max Foster about his relationship with the British royal family, and describes how Princess Diana's death impacted residents of rural Pakistan."
N42716,lifestyle,Trolls Told Me I'm Too Ugly To Post Pics. Then I Did And Something Incredible Happened.,"Melissa Blake should be banned from posting pictures of herself.Those were the words that greeted me one afternoon as I was scrolling theinternet. It was just 10 words, left by a stranger in the comments of aYouTube video I was mentioned in, but they packed a powerful punch. I winced,but not as much as you might think.Did those words hurt? Absolutely. Was I surprised by them? Not in theslightest. Sadly, I've come to expect them.Let me back up..."
N24900,sports,Bare Knuckle Knockout! Watch Gabriel Gonzaga Whup Bigfoot Silva In Tampa,"Bare Knuckle FC returned on Saturday night for their eighth show in two years, this one featuring a heavyweight showdown between UFC veterans in Tampa, Florida. Gabriel Gonzaga and Antonio Silva were both looking to prove they still had a little something left in the gas tank to give. In the end it was Gonzaga who got his hand raised after pummeling Silva and KO'ing him 1:50 into the second round. Here's highlight video of the final moments of..."
N25567,movies,The Fast and the Furious Director Rob Cohen Accused of Sexual Assault,A woman claims Cohen assaulted her in a hotel room while she was unconscious.
N25205,lifestyle,14 hilarious photos that prove Kate Middleton is just like us,"Sometimes, it's hard to believe Kate Middleton once lived a life that didn't involve state banquets with the Queen."
N59709,sports,Adrian Peterson had to 'hold back tears' in return to Minnesota,"Adrian Peterson returned to Minnesota on Thursday night, but this time he did so as a member of the Washington Redskins in a game that was critical for each team despite them heading in different directions."
N9013,news,Southwest flight attendant alleges pilots live streamed video from camera in lavatory,"DENVER   A Southwest Airlines flight attendant has filed a lawsuit alleging two pilots streamed video from a camera hidden in a lavatory, according to KTVT. The alleged incident occurred in February 2017. The flight attendant, Renee Steinaker, said she was working on a flight from Phoenix to Pittsburgh when she went into the cockpit and saw an iPad mounted on the windshield. The iPad was ..."
N15651,finance,"The penthouse of NYC's Woolworth Building just got a $31 million price cut. Check out 'The Pinnacle,' which occupies the top 5 floors of the iconic, green-roofed skyscraper.","The condo comes as a ""white-box"" unit, meaning it comes without any furniture, finishings, or appliances, so the buyer can customize it completely."
N41869,foodanddrink,5 Turkey Cooking Tips That'll Guarantee You Have the Perfect Bird,There's no need to wing it at Thanksgiving this year.
